iter	Passed	Remaining
0	207	103302
1	266	66274
2	349	57858
3	404	50168
4	462	45768
5	477	39314
6	528	37248
7	584	35935
8	639	34885
9	677	33198
10	727	32334
11	778	31654
12	831	31158
13	875	30384
14	926	29950
15	977	29572
16	1007	28611
17	1060	28387
18	1130	28618
19	1165	27960
20	1217	27768
21	1252	27205
22	1271	26363
23	1328	26340
24	1377	26169
25	1427	26017
26	1475	25840
27	1524	25702
28	1578	25629
29	1628	25506
30	1681	25439
31	1731	25325
32	1782	25218
33	1832	25116
34	1876	24933
35	1926	24832
36	1978	24760
37	2014	24486
38	2063	24396
39	2114	24314
40	2165	24243
41	2223	24243
42	2273	24164
43	2324	24090
44	2376	24031
45	2401	23705
46	2480	23903
47	2499	23536
48	2535	23340
49	2587	23288
50	2640	23243
51	2696	23229
52	2735	23071
53	2785	23008
54	2805	22697
55	2855	22640
56	2910	22619
57	2966	22609
58	3020	22577
59	3074	22548
60	3133	22549
61	3193	22561
62	3238	22464
63	3345	22788
64	3402	22772
65	3446	22660
66	3505	22653
67	3560	22617
68	3613	22571
69	3635	22330
70	3689	22293
71	3734	22202
72	3791	22175
73	3846	22140
74	3899	22095
75	3944	22007
76	4002	21989
77	4055	21942
78	4102	21864
79	4153	21806
80	4203	21745
81	4246	21647
82	4273	21472
83	4325	21421
84	4379	21381
85	4441	21379
86	4479	21265
87	4568	21389
88	4621	21342
89	4672	21284
90	4723	21229
91	4773	21171
92	4823	21110
93	4843	20917
94	4894	20867
95	4950	20833
96	5001	20781
97	5053	20728
98	5106	20683
99	5177	20709
100	5236	20687
101	5325	20778
102	5359	20656
103	5415	20620
104	5464	20557
105	5514	20497
106	5526	20297
107	5579	20250
108	5614	20138
109	5643	20007
110	5696	19964
111	5749	19918
112	5811	19904
113	5865	19861
114	5912	19794
115	5934	19645
116	5987	19601
117	6044	19568
118	6102	19537
119	6155	19493
120	6212	19458
121	6224	19286
122	6277	19241
123	6328	19189
124	6342	19026
125	6411	19030
126	6463	18982
127	6528	18972
128	6591	18957
129	6671	18987
130	6690	18845
131	6744	18802
132	6795	18751
133	6846	18701
134	6899	18655
135	6950	18602
136	6999	18546
137	7042	18474
138	7095	18426
139	7182	18468
140	7227	18402
141	7281	18358
142	7333	18307
143	7393	18277
144	7437	18208
145	7494	18171
146	7558	18150
147	7611	18103
148	7664	18054
149	7717	18008
150	7770	17960
151	7823	17910
152	7876	17862
153	7927	17810
154	7953	17703
155	8006	17655
156	8061	17612
157	8125	17587
158	8164	17510
159	8218	17463
160	8272	17419
161	8326	17371
162	8378	17321
163	8432	17275
164	8483	17223
165	8520	17144
166	8577	17104
167	8631	17057
168	8644	16930
169	8743	16972
170	8850	17028
171	8906	16984
172	8977	16969
173	9058	16972
174	9105	16910
175	9154	16852
176	9206	16800
177	9264	16759
178	9334	16740
179	9437	16777
180	9535	16806
181	9616	16802
